,Time,Left_motor,Right_motor
383,1637668425.1788766,-2.7790836238861085,-2.7017215633392335
384,1637668425.2287319,-2.6362613582611085,-2.2435001277923585
385,1637668425.278778,-2.8266910457611085,-2.4874881649017335
386,1637668425.3289208,-2.7314762020111085,-2.4458316707611085
387,1637668425.378821,-2.8147891902923585,-2.3565677547454835
388,1637668425.4287271,-2.7493289852142335,-2.6838687801361085
389,1637668425.478911,-2.6719669246673585,-2.3982242488861085
390,1637668425.5288818,-2.7731326961517335,-2.5588992977142335
391,1637668425.5791178,-2.6660159969329835,-2.4636844539642335
392,1637668425.6290858,-2.7790836238861085,-2.6719669246673585
393,1637668425.6788762,-2.5886539363861085,-2.4220279598236085
394,1637668425.7289853,-2.7671817684173585,-2.6065067195892335
395,1637668425.7791214,-2.5529483699798585,-2.4577335262298585
396,1637668425.8289375,-2.7255252742767335,-2.5648502254486085
397,1637668425.8791442,-2.5410465145111085,-2.5112918758392335
398,1637668425.928862,-2.6184085750579835,-2.5231937313079835
399,1637668425.9787335,-2.5053409481048585,-2.4755863094329835
400,1637668426.0289013,-2.6422122859954835,-2.4696353816986085
401,1637668426.0787659,-2.5767520809173585,-2.7850345516204835
402,1637668426.128711,-2.6957706356048585,-2.5708011531829835
403,1637668426.1784008,-2.5291446590423585,-2.7612308406829835
404,1637668426.2287278,-2.6481632137298585,-2.6481632137298585
405,1637668426.2784302,-2.5112918758392335,-2.7255252742767335
406,1637668426.3288882,-2.6422122859954835,-2.7255252742767335
407,1637668426.3785365,-2.4993900203704835,-2.7969364070892335
408,1637668426.4286723,-2.6779178524017335,-2.8564456844329835
409,1637668426.4783566,-2.5112918758392335,-2.8088382625579835
410,1637668426.5285585,-2.6957706356048585,-2.5767520809173585
411,1637668426.5783215,-2.4636844539642335,-2.7314762020111085
412,1637668426.6283302,-2.6243595027923585,-2.7017215633392335
413,1637668426.6783001,-2.5469974422454835,-2.7136234188079835
414,1637668426.7285495,-2.6243595027923585,-2.8207401180267335
415,1637668426.7783241,-2.4874881649017335,-2.6600650691986085
416,1637668426.828446,-2.5886539363861085,-2.7136234188079835
417,1637668426.878273,-2.4993900203704835,-2.5767520809173585
418,1637668426.928506,-2.4398807430267335,-2.8385929012298585
419,1637668426.9783206,-2.6481632137298585,-2.4993900203704835
